"Country or Area","Year","Value","Value Footnotes"
"Belarus","1992","-63057",""
"Belarus","1987","-6309",""
"Belarus","1982","47114",""
"Belarus","1977","10001",""
"Belarus","1972","23022",""
"Belarus","1967","57574",""
"Belarus","1962","-125387",""
"Belgium","2012","150007",""
"Belgium","2007","338542",""
"Belgium","2002","196804",""
"Belgium","1997","67177",""
"Belgium","1992","115391",""
"Belgium","1987","44794",""
"Belgium","1982","13460",""
"Belgium","1977","70243",""
"Belgium","1972","39275",""
"Belgium","1967","86168",""
"Belgium","1962","71911",""
"Belize","2012","7596",""
"Belize","2007","6778",""
"Belize","2002","4462",""
"Belize","1997","3798",""
"Belize","1992","-9011",""
"Belize","1987","-5404",""
"Belize","1982","-5332",""
"Belize","1977","-13542",""
"Belize","1972","-10665",""
"Belize","1967","-2957",""
"Belize","1962","-2418",""
"Benin","2012","-10000",""
"Benin","2007","50000",""
"Benin","2002","98831",""
"Benin","1997","-29287",""
"Benin","1992","105000",""
"Benin","1987","-8723",""
"Benin","1982","-10848",""
"Benin","1977","-19393",""
"Benin","1972","-24845",""
"Benin","1967","-23742",""
"Benin","1962","-24295",""
"Bhutan","2012","10000",""
"Bhutan","2007","16829",""
"Bhutan","2002","34976",""
"Bhutan","1997","143",""
"Bhutan","1992","-85887",""
"Bhutan","1987","1595",""
"Bhutan","1982","797",""
"Bhutan","1977","15000",""
"Bhutan","1972","20000",""
"Bhutan","1967","10000",""
"Bhutan","1962","5000",""
"Bolivia","2012","-125000",""
"Bolivia","2007","-165177",""
"Bolivia","2002","-131000",""
"Bolivia","1997","-100000",""
"Bolivia","1992","-100000",""
"Bolivia","1987","-75002",""
"Bolivia","1982","-50000",""
"Bolivia","1977","-35000",""
"Bolivia","1972","-40000",""
"Bolivia","1967","-36000",""
"Bolivia","1962","-34000",""
"Bosnia and Herzegovina","2012","-5000",""
"Bosnia and Herzegovina","2007","-18789",""
"Bosnia and Herzegovina","2002","37754",""
"Bosnia and Herzegovina","1997","232864",""
"Bosnia and Herzegovina","1992","-1025000",""
"Bosnia and Herzegovina","1987","-24141",""
"Bosnia and Herzegovina","1982","-21948",""
"Bosnia and Herzegovina","1977","-84841",""
"Bosnia and Herzegovina","1972","-74922",""
"Bosnia and Herzegovina","1967","-146084",""
"Bosnia and Herzegovina","1962","-149760",""
"Botswana","2012","20000",""
"Botswana","2007","18730",""
"Botswana","2002","21278",""
"Botswana","1997","24546",""
"Botswana","1992","17864",""
"Botswana","1987","5803",""
"Botswana","1982","601",""
"Botswana","1977","14845",""
"Botswana","1972","2326",""
"Botswana","1967","-6020",""
"Botswana","1962","-15000",""
"Brazil","2012","-190000",""
"Brazil","2007","-499999",""
"Brazil","2002","-499999",""
"Brazil","1997","-100002",""
"Brazil","1992","-99999",""
"Brazil","1987","-92000",""
"Brazil","1982","-16000",""
